player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp,vorp,vorp_rank,adp_rank,value_gap
11646,Jalen Coker,WR,CAR,144.4,165.9,18.0,60.0,753.0,5.0,1.0,6.0,,,,,2.0,-11.400000000000006,120,131,11
4892,Baker Mayfield,QB,TB,141.4,274.88,18.0,,,,63.0,306.0,2.0,3682.0,26.0,,8.0,-11.800000000000011,121,129,8
5849,Kyler Murray,QB,MIN,159.8,274.66,18.0,,,,85.0,503.0,3.0,3384.0,21.0,,7.0,-12.019999999999982,122,141,19
9754,Quentin Johnston,WR,LAC,111.2,163.9,18.0,58.0,748.0,5.0,2.0,11.0,,,,Questionable,3.0,-13.400000000000006,123,107,-16
8210,Chig Okonkwo,TE,WAS,186.1,144.1,18.0,61.0,591.0,4.0,,,,,,,4.0,-15.700000000000017,124,161,37
12545,Tyler Shough,QB,NO,181.4,270.94,18.0,,,,84.0,343.0,3.0,3666.0,22.0,,1.0,-15.740000000000009,125,157,32
11624,Xavier Worthy,WR,KC,139.1,161.5,18.0,55.0,695.0,4.0,17.0,90.0,1.0,,,Questionable,2.0,-15.800000000000011,126,127,1
8121,Romeo Doubs,WR,NE,132.2,161.2,18.0,57.0,742.0,5.0,,,,,,,4.0,-16.100000000000023,127,123,-4
8161,Malik Willis,QB,MIA,194.3,270.12,18.0,,,,125.0,712.0,5.0,2848.0,17.0,,4.0,-16.560000000000002,128,168,40
4199,Aaron Jones,RB,MIN,124.6,137.1,18.0,34.0,248.0,1.0,131.0,563.0,3.0,,,,9.0,-16.599999999999994,129,118,-11
11603,AJ Barner,TE,SEA,184.8,142.4,18.0,58.0,530.0,4.0,10.0,14.0,1.0,,,,2.0,-17.400000000000006,130,159,29
12493,Oronde Gadsden,TE,LAC,125.2,141.8,18.0,56.0,618.0,4.0,,,,,,,1.0,-18.0,131,119,-12
11586,Blake Corum,RB,LAR,103.1,135.3,18.0,15.0,106.0,,172.0,757.0,6.0,,,,2.0,-18.399999999999977,132,100,-32
7002,Juwan Johnson,TE,NO,187.1,140.9,18.0,56.0,609.0,4.0,,,,,,,6.0,-18.900000000000006,133,162,29
2449,Stefon Diggs,WR,WAS,113.6,157.3,18.0,64.0,687.0,4.0,1.0,6.0,,,,,11.0,-20.0,134,109,-25
13298,KC Concepcion,WR,CLE,122.3,156.4,18.0,58.0,710.0,4.0,9.0,54.0,,,,,0.0,-20.900000000000006,135,116,-19
10219,Chris Rodriguez,RB,JAX,142.6,132.5,18.0,15.0,107.0,,171.0,728.0,6.0,,,,3.0,-21.19999999999999,136,130,-6
5872,Deebo Samuel,WR,SF,138.2,155.7,18.0,56.0,628.0,4.0,17.0,89.0,1.0,,,,7.0,-21.600000000000023,137,126,-11
5022,Dallas Goedert,TE,PHI,123.3,136.0,18.0,53.0,590.0,4.0,,,,,,,8.0,-23.80000000000001,138,117,-21
4943,Sam Darnold,QB,SEA,176.4,262.74,18.0,,,,44.0,157.0,2.0,3676.0,26.0,,8.0,-23.939999999999998,139,153,14
8136,Rachaad White,RB,WAS,131.3,128.1,18.0,34.0,253.0,1.0,114.0,468.0,3.0,,,Questionable,4.0,-25.599999999999994,140,122,-18
12533,Jacory Croskey-Merritt,RB,WAS,114.4,127.9,18.0,19.0,135.0,1.0,141.0,614.0,5.0,,,Questionable,1.0,-25.799999999999983,141,110,-31
12502,Gunnar Helm,TE,TEN,233.1,130.3,18.0,57.0,553.0,3.0,,,,,,,1.0,-29.5,142,214,72
7600,Pat Freiermuth,TE,PIT,239.9,128.4,18.0,51.0,534.0,4.0,,,,,,,5.0,-31.400000000000006,143,229,86
8111,Cade Otton,TE,TB,236.7,122.3,18.0,53.0,513.0,3.0,,,,,,Questionable,4.0,-37.500000000000014,144,220,76
9758,C.J. Stroud,QB,HOU,204.4,247.82,18.0,,,,53.0,201.0,2.0,3593.0,22.0,,3.0,-38.860000000000014,145,175,30
9508,Tyjae Spears,RB,TEN,167.8,114.6,18.0,35.0,248.0,1.0,92.0,388.0,2.0,,,,3.0,-39.099999999999994,146,149,3
8676,Rashid Shaheed,WR,SEA,146.2,138.1,18.0,45.0,665.0,4.0,8.0,46.0,,,,,4.0,-39.20000000000002,147,134,-13
11655,Tyrone Tracy,RB,NYG,163.3,111.3,18.0,21.0,155.0,1.0,124.0,528.0,3.0,,,,2.0,-42.39999999999999,148,144,-4
13346,Denzel Boston,WR,CLE,165.6,134.7,18.0,53.0,624.0,3.0,2.0,13.0,,,,,0.0,-42.60000000000002,149,146,-3
11610,Malik Washington,WR,MIA,200.7,131.3,18.0,48.0,472.0,3.0,22.0,121.0,1.0,,,,2.0,-46.0,150,173,23
8180,Jalen Nailor,WR,LV,183.8,130.6,18.0,46.0,587.0,4.0,3.0,19.0,,,,,4.0,-46.70000000000002,151,158,7
8172,Greg Dulcich,TE,MIA,229.7,110.9,18.0,47.0,459.0,3.0,,,,,,,4.0,-48.900000000000006,152,208,56
13417,De'Zhaun Stribling,WR,SF,156.0,128.4,18.0,46.0,584.0,4.0,,,,,,Questionable,0.0,-48.900000000000006,153,139,-14
11618,Jalen McMillan,WR,TB,209.1,127.4,18.0,44.0,561.0,4.0,6.0,33.0,,,,Questionable,2.0,-49.900000000000006,154,180,26
13276,Omar Cooper,WR,NYJ,188.6,127.1,18.0,45.0,567.0,4.0,3.0,14.0,,,,,0.0,-50.20000000000002,155,164,9
9228,Bryce Young,QB,CAR,227.1,235.58,18.0,,,,51.0,245.0,3.0,3202.0,20.0,,3.0,-51.099999999999994,156,199,43
10213,Tre Tucker,WR,LV,202.8,125.9,18.0,46.0,582.0,3.0,7.0,37.0,,,,,3.0,-51.400000000000006,157,174,17
9504,Kayshon Boutte,WR,HOU,235.0,125.2,18.0,41.0,602.0,4.0,,,,,,,3.0,-52.10000000000001,158,217,59
11783,Ryan Flournoy,WR,DAL,232.0,121.2,18.0,47.0,549.0,3.0,2.0,13.0,,,,,2.0,-56.10000000000001,159,211,52
13305,Mike Washington,RB,LV,172.7,97.5,18.0,16.0,117.0,1.0,111.0,458.0,3.0,,,,0.0,-56.19999999999999,160,150,-10
9511,Keaton Mitchell,RB,LAC,180.0,96.9,18.0,18.0,134.0,1.0,88.0,435.0,3.0,,,,3.0,-56.79999999999998,161,156,-5
6783,Jerry Jeudy,WR,CLE,190.3,119.6,18.0,43.0,581.0,3.0,1.0,5.0,,,,,6.0,-57.70000000000002,162,165,3
12522,Cam Ward,QB,TEN,213.2,227.84,18.0,,,,46.0,182.0,2.0,3516.0,19.0,,1.0,-58.84,163,184,21
12487,Terrance Ferguson,TE,LAR,207.7,100.3,18.0,35.0,413.0,4.0,,,,,,,1.0,-59.500000000000014,164,178,14
13330,Kenyon Sadiq,TE,NYJ,150.8,100.2,18.0,40.0,415.0,3.0,2.0,7.0,,,,Questionable,0.0,-59.60000000000001,165,136,-29
5870,Daniel Jones,QB,IND,205.0,223.54,18.0,,,,47.0,191.0,2.0,3286.0,19.0,,7.0,-63.140000000000015,166,176,10
12498,Mason Taylor,TE,NYJ,224.3,96.4,18.0,40.0,384.0,3.0,,,,,,,1.0,-63.400000000000006,167,195,28
12509,Tre' Harris,WR,LAC,230.6,112.9,18.0,39.0,493.0,4.0,1.0,6.0,,,,Questionable,1.0,-64.4,168,209,41
12469,Dylan Sampson,RB,CLE,188.2,88.7,18.0,23.0,176.0,1.0,78.0,321.0,2.0,,,,1.0,-64.99999999999999,169,163,-6
13281,Jordyn Tyson,WR,NO,86.5,111.0,18.0,41.0,514.0,3.0,1.0,6.0,,,,Doubtful,0.0,-66.30000000000001,170,86,-84
11834,Devaughn Vele,WR,NO,239.8,110.6,18.0,42.0,496.0,3.0,1.0,10.0,,,,,2.0,-66.70000000000002,171,228,57
12474,Woody Marks,RB,HOU,162.6,83.8,18.0,19.0,137.0,1.0,86.0,351.0,2.0,,,,1.0,-69.89999999999999,172,143,-29
1479,Keenan Allen,WR,IND,197.7,106.8,18.0,44.0,448.0,3.0,,,,,,,13.0,-70.50000000000001,173,171,-2
7049,Jauan Jennings,WR,MIN,195.1,105.7,18.0,39.0,487.0,3.0,,,,,,,6.0,-71.60000000000001,174,169,-5
13293,Ja'Kobi Lane,WR,BAL,157.6,104.9,18.0,35.0,453.0,4.0,1.0,6.0,,,,,0.0,-72.4,175,140,-35
13269,Fernando Mendoza,QB,LV,179.5,212.16,18.0,,,,53.0,234.0,2.0,2894.0,19.0,,0.0,-74.52000000000001,176,155,-21
7571,Rashod Bateman,WR,BAL,232.7,102.3,18.0,36.0,483.0,3.0,,,,,,,5.0,-75.00000000000001,177,213,36
12530,Travis Hunter,WR,JAX,166.8,100.6,18.0,35.0,415.0,3.0,4.0,21.0,,,,,1.0,-76.70000000000002,178,147,-31
13274,Germie Bernard,WR,PIT,230.8,98.9,18.0,36.0,439.0,3.0,2.0,10.0,,,,,0.0,-78.4,179,210,31
13349,Eli Stowers,TE,PHI,238.9,81.4,18.0,31.0,319.0,3.0,2.0,5.0,,,,Questionable,0.0,-78.4,180,225,45
11625,Adonai Mitchell,WR,NYJ,234.2,98.3,18.0,35.0,443.0,3.0,1.0,10.0,,,,,2.0,-79.00000000000001,181,215,34
13317,Ted Hurst,WR,TB,239.6,97.9,18.0,36.0,426.0,3.0,2.0,13.0,,,,,0.0,-79.4,182,227,45
12492,Pat Bryant,WR,DEN,227.2,96.4,18.0,35.0,425.0,3.0,2.0,9.0,,,,,1.0,-80.9,183,200,17
