player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp
13330,Kenyon Sadiq,TE,NYJ,143.1,100.2,18.0,40.0,415.0,3.0,2.0,7.0,,,,Questionable,0.0
NE,New England Patriots,DST,NE,143.8,92.0,1.0,,,,,,,,,,
11646,Jalen Coker,WR,CAR,145.7,165.9,18.0,60.0,753.0,5.0,1.0,6.0,,,,,2.0
6804,Jordan Love,QB,GB,146.0,278.52,18.0,,,,51.0,202.0,2.0,3808.0,27.0,,6.0
8154,Brian Robinson,RB,ATL,147.0,69.9,18.0,13.0,91.0,,87.0,358.0,2.0,,,,4.0
8132,Tyler Allgeier,RB,ARI,148.0,69.4,18.0,8.0,54.0,,95.0,400.0,3.0,,,,4.0
12015,Harrison Mevis,K,LAR,149.3,106.0,18.0,,,,,,,,,,2.0
9480,Brenton Strange,TE,JAX,150.5,161.0,18.0,63.0,680.0,5.0,,,,,,,3.0
DET,Detroit Lions,DST,DET,151.1,92.0,1.0,,,,,,,,,,
MIN,Minnesota Vikings,DST,MIN,151.7,92.0,1.0,,,,,,,,,,
12713,Andy Borregales,K,NE,153.9,96.0,18.0,,,,,,,,,,1.0
1945,Chris Boswell,K,PIT,154.7,107.0,18.0,,,,,,,,,,12.0
11539,Jake Bates,K,DET,155.9,105.0,18.0,,,,,,,,,,3.0
10219,Chris Rodriguez,RB,JAX,156.1,132.5,18.0,15.0,107.0,,171.0,728.0,6.0,,,,3.0
8676,Rashid Shaheed,WR,SEA,157.6,138.1,18.0,45.0,665.0,4.0,8.0,46.0,,,,,4.0
5849,Kyler Murray,QB,MIN,158.5,265.2,18.0,,,,83.0,488.0,3.0,3285.0,20.0,,7.0
11655,Tyrone Tracy,RB,NYG,159.1,111.3,18.0,21.0,155.0,1.0,124.0,528.0,3.0,,,,2.0
4035,Alvin Kamara,RB,NO,159.7,63.0,18.0,20.0,145.0,1.0,45.0,185.0,1.0,,,,9.0
PIT,Pittsburgh Steelers,DST,PIT,161.1,88.0,1.0,,,,,,,,,,
13346,Denzel Boston,WR,CLE,162.2,134.7,18.0,53.0,624.0,3.0,2.0,13.0,,,,,0.0
5844,T.J. Hockenson,TE,MIN,163.4,155.0,18.0,66.0,650.0,4.0,,,,,,,7.0
12530,Travis Hunter,WR,JAX,164.9,100.6,18.0,35.0,415.0,3.0,4.0,21.0,,,,,1.0
12474,Woody Marks,RB,HOU,165.4,83.8,18.0,19.0,137.0,1.0,86.0,351.0,2.0,,,,1.0
11792,Will Reichard,K,MIN,166.9,109.0,18.0,,,,,,,,,,2.0
13345,Jonah Coleman,RB,DEN,167.4,63.9,18.0,10.0,75.0,1.0,72.0,304.0,2.0,,,,0.0
12545,Tyler Shough,QB,NO,167.9,270.94,18.0,,,,84.0,343.0,3.0,3666.0,22.0,,1.0
8210,Chig Okonkwo,TE,WAS,169.6,144.1,18.0,61.0,591.0,4.0,,,,,,,4.0
9508,Tyjae Spears,RB,TEN,170.2,114.6,18.0,35.0,248.0,1.0,92.0,388.0,2.0,,,,3.0
JAX,Jacksonville Jaguars,DST,JAX,171.9,91.0,1.0,,,,,,,,,,
13276,Omar Cooper,WR,NYJ,172.1,127.1,18.0,45.0,567.0,4.0,3.0,14.0,,,,,0.0
5189,Eddy Pineiro,K,SF,173.1,101.0,18.0,,,,,,,,,,8.0
13417,De'Zhaun Stribling,WR,SF,174.4,128.4,18.0,46.0,584.0,4.0,,,,,,,0.0
4943,Sam Darnold,QB,SEA,175.6,262.74,18.0,,,,44.0,157.0,2.0,3676.0,26.0,,8.0
13293,Ja'Kobi Lane,WR,BAL,175.7,104.9,18.0,35.0,453.0,4.0,1.0,6.0,,,,,0.0
13269,Fernando Mendoza,QB,LV,177.2,212.16,18.0,,,,53.0,234.0,2.0,2894.0,19.0,,0.0
9502,Tank Dell,WR,HOU,178.0,69.4,18.0,24.0,317.0,2.0,3.0,17.0,,,,Questionable,3.0
LAC,Los Angeles Chargers,DST,LAC,179.3,86.0,1.0,,,,,,,,,,
4227,Harrison Butker,K,KC,180.3,100.0,18.0,,,,,,,,,,9.0
9511,Keaton Mitchell,RB,LAC,181.7,96.9,18.0,18.0,134.0,1.0,88.0,435.0,3.0,,,,3.0
7839,Evan McPherson,K,CIN,182.4,106.0,18.0,,,,,,,,,,5.0
8180,Jalen Nailor,WR,LV,183.8,130.6,18.0,46.0,587.0,4.0,3.0,19.0,,,,,4.0
9225,Tank Bigsby,RB,PHI,183.8,65.2,18.0,8.0,59.0,,82.0,353.0,3.0,,,Questionable,3.0
8205,Isiah Pacheco,RB,DET,185.6,53.6,18.0,10.0,73.0,,67.0,263.0,2.0,,,Questionable,4.0
11603,AJ Barner,TE,SEA,186.2,142.4,18.0,58.0,530.0,4.0,10.0,14.0,1.0,,,,2.0
9758,C.J. Stroud,QB,HOU,187.6,238.2,18.0,,,,54.0,220.0,2.0,3405.0,21.0,,3.0
7002,Juwan Johnson,TE,NO,188.3,140.9,18.0,56.0,609.0,4.0,,,,,,,6.0
13320,Zachariah Branch,WR,ATL,189.7,78.5,18.0,30.0,365.0,2.0,,,,,,,0.0
8161,Malik Willis,QB,MIA,190.5,270.12,18.0,,,,125.0,712.0,5.0,2848.0,17.0,,4.0
12469,Dylan Sampson,RB,CLE,191.2,88.7,18.0,23.0,176.0,1.0,78.0,321.0,2.0,,,,1.0
7049,Jauan Jennings,WR,MIN,191.7,105.7,18.0,39.0,487.0,3.0,,,,,,,6.0
5001,Dalton Schultz,TE,HOU,193.8,139.2,18.0,58.0,572.0,4.0,,,,,,,8.0
6783,Jerry Jeudy,WR,CLE,194.7,119.6,18.0,43.0,581.0,3.0,1.0,5.0,,,,,6.0
13288,Nicholas Singleton,RB,TEN,195.2,63.7,18.0,12.0,87.0,1.0,65.0,270.0,2.0,,,,0.0
11618,Jalen McMillan,WR,TB,196.2,127.4,18.0,44.0,561.0,4.0,6.0,33.0,,,,Questionable,2.0
13337,Emmett Johnson,RB,KC,197.9,65.2,18.0,12.0,86.0,1.0,67.0,286.0,2.0,,,,0.0
DAL,Dallas Cowboys,DST,DAL,198.1,86.0,1.0,,,,,,,,,,
13413,Cyrus Allen,WR,KC,199.2,94.5,18.0,34.0,425.0,3.0,,,,,,,0.0
11610,Malik Washington,WR,MIA,199.6,131.3,18.0,48.0,472.0,3.0,22.0,121.0,1.0,,,,2.0
12711,Tyler Loop,K,BAL,201.0,106.0,18.0,,,,,,,,,,1.0
GB,Green Bay Packers,DST,GB,202.8,86.0,1.0,,,,,,,,,,
